method,time,quantity,target_left,target_right,pairwise_rms,checkpoint_step
early_all_negative_identification,0.3125,velocity_fractional_coordinate,0,1,0.025790246203541756,400
early_all_negative_identification,0.3125,velocity_lattice_log,0,1,0.24723508954048157,400
early_all_negative_identification,0.375,state_type_logit,0,1,0.03239892050623894,400
early_all_negative_identification,0.375,state_fractional_coordinate,0,1,0.014681263826787472,400
early_all_negative_identification,0.375,state_lattice_log,0,1,0.09613370895385742,400
early_all_negative_identification,0.375,velocity_type_logit,0,1,0.0784778743982315,400
early_all_negative_identification,0.375,velocity_fractional_coordinate,0,1,0.021638985723257065,400
early_all_negative_identification,0.375,velocity_lattice_log,0,1,0.24418705701828003,400
early_all_negative_identification,0.4375,state_type_logit,0,1,0.03727444261312485,400
early_all_negative_identification,0.4375,state_fractional_coordinate,0,1,0.015977634117007256,400
early_all_negative_identification,0.4375,state_lattice_log,0,1,0.1113923192024231,400
early_all_negative_identification,0.4375,velocity_type_logit,0,1,0.07671243697404861,400
early_all_negative_identification,0.4375,velocity_fractional_coordinate,0,1,0.018095916137099266,400
early_all_negative_identification,0.4375,velocity_lattice_log,0,1,0.24138058722019196,400
early_all_negative_identification,0.5,state_type_logit,0,1,0.04203249514102936,400
early_all_negative_identification,0.5,state_fractional_coordinate,0,1,0.01702050492167473,400
early_all_negative_identification,0.5,state_lattice_log,0,1,0.12647509574890137,400
early_all_negative_identification,0.5,velocity_type_logit,0,1,0.07510064542293549,400
early_all_negative_identification,0.5,velocity_fractional_coordinate,0,1,0.015245488844811916,400
early_all_negative_identification,0.5,velocity_lattice_log,0,1,0.23878587782382965,400
early_all_negative_identification,0.5625,state_type_logit,0,1,0.04668270796537399,400
early_all_negative_identification,0.5625,state_fractional_coordinate,0,1,0.01783636584877968,400
early_all_negative_identification,0.5625,state_lattice_log,0,1,0.14139552414417267,400
early_all_negative_identification,0.5625,velocity_type_logit,0,1,0.07362249493598938,400
