time,representation,source_left,source_right,representation_distance,target_distance,lift_difference,exact_representation_collision
0.09375,production_input,49,54,4.159054466873534,0.7751790340740842,1.5811387829625838,False
0.09375,production_input,56,61,4.230506061878827,0.5611320854807601,1.3228756386359677,False
0.09375,production_input,60,63,3.9546633189023983,1.1696155725084794,1.9364916557901248,False
0.125,universal_cover_X,1,33,0.5649626300957423,1.0089102444051619,0.8660254381972002,False
0.125,universal_cover_X,1,53,0.5972869105526771,1.220248718329893,1.4999999552965178,False
0.125,universal_cover_X,5,25,0.45250298360888147,0.5171462470783046,7.146345858599389e-08,False
0.125,universal_cover_X,5,58,0.5318115832819883,0.8837418960068439,0.8660253521653052,False
0.125,universal_cover_X,9,44,0.4853608321794299,0.9669695882643794,1.2247448774749656,False
0.125,universal_cover_X,13,18,0.6102516840381664,0.6974304445930688,7.30004829727037e-08,False
0.125,universal_cover_X,13,53,0.5844366362286089,0.9963526020683572,0.866025334958925,False
0.125,universal_cover_X,14,15,0.29434981855231124,0.3363997787961278,6.352138865832771e-08,False
0.125,universal_cover_X,15,29,0.5590014439135401,0.6688061324321785,0.8660253736732783,False
0.125,universal_cover_X,16,29,0.5381594797486637,0.8448795157491398,0.8660254080860349,False
0.125,universal_cover_X,16,46,0.49046359145052054,0.5605298191984143,4.9421560627171804e-08,False
0.125,universal_cover_X,16,62,0.5318505337855373,0.9568649560669178,0.8660254209908186,False
0.125,universal_cover_X,17,35,0.623467745728328,1.0536478958201947,1.0000000298023246,False
0.125,universal_cover_X,19,43,0.5662744422891279,0.8124582327733996,0.8660254381971986,False
0.125,universal_cover_X,22,46,0.4650778751507305,0.6923084392218394,0.866025427443211,False
0.125,universal_cover_X,25,36,0.494845593677292,0.9363796549511998,1.2247447862243612,False
0.125,universal_cover_X,25,58,0.5459941853316986,0.5899910083664045,0.8660253521653044,False
0.125,universal_cover_X,29,46,0.4023385486752133,0.8366576989428838,0.8660254080860366,False
0.125,universal_cover_X,37,55,0.42392164149078193,0.48448188565449557,2.5809568260370952e-08,False
0.125,universal_cover_X,44,57,0.5692660174024845,0.6505897300369208,6.664001872172836e-08,False
0.125,universal_cover_X,47,56,0.48559921574562476,1.0498086433790665,1.2247448592248475,False
0.125,wrapped_torus,1,13,2.855001024637603,0.7834354003368964,1.2247448348913492,False
0.125,wrapped_torus,2,25,2.9308113285729043,0.5238136673589379,1.49999993046125,False
0.125,wrapped_torus,3,22,2.722941681656519,0.4068301754148347,1.3228756667965198,False
0.125,wrapped_torus,5,38,2.9005848930123217,0.47897275430467456,1.2247449231002678,False
0.125,wrapped_torus,8,60,2.8648703165364218,0.4682747805053025,1.3228756386359686,False
