panel,group,value,graphs,decisions,model_nll,empirical_nll,uniform_nll,model_minus_empirical
test,partition_lambda,66,27,54,3.5876073704825506,3.889186378565989,4.120137231680553,-0.30157900808343774
test,partition_lambda,67,42,84,3.943078148932684,4.298200329055364,4.324110726911321,-0.35512218012267993
test,partition_lambda,68,47,94,3.84803432860273,4.325461864439712,4.324110726911321,-0.4774275358369815
test,partition_lambda,70,10,20,3.689896488189697,4.1424200380763,4.324110726911321,-0.45252354988660254
test,partition_lambda,72,13,26,3.568434110054603,4.287502375855592,4.32411072691132,-0.7190682658009889
test,partition_lambda,76,11,22,3.9425976384769785,3.9899565826391847,4.324110726911321,-0.04735894416220607
test,partition_lambda,88,73,146,3.7353170808047462,4.010975062600344,4.076108869537465,-0.27565798179559686
test,partition_lambda,89,31,62,4.07068468293836,4.380127630483346,4.3241107269113215,-0.3094429475449863
test,partition_lambda,96,41,82,4.126928091049194,4.67194307945122,4.324110726911321,-0.5450149884020248
test,partition_lambda,111,10,20,4.1016919136047365,4.954679828172357,4.324110726911321,-0.8529879145676201
test,partition_lambda,132,25,50,3.810400824546814,4.029386347694021,4.064992690037152,-0.21898552314720654
test,partition_lambda,134,17,34,4.0176562561708336,4.283070123910222,4.324110726911321,-0.265413867739388
test,partition_lambda,136,36,72,3.870348264773687,4.5759176205515395,4.324110726911321,-0.7055693557778525
test,partition_lambda,176,21,42,3.7803553229286555,4.37854911857903,3.9974051856111337,-0.598193795650374
test,partition_lambda,178,11,22,4.298294305801392,4.030076062712087,4.324110726911321,0.2682182430893045
test,partition_lambda,464,3331,9993,3.614501526686065,3.8842502522977465,4.109444902427549,-0.26974872561168084
test,partition_lambda,465,226,678,3.5329888924780497,3.805403208081555,4.198504179229676,-0.2724143156035061
test,partition_lambda,466,401,1203,3.5118112573005313,3.6781931919906303,4.096120068680415,-0.16638193469009935
test,partition_lambda,467,73,219,3.573664700059586,3.307359004515036,4.116876676164921,0.26630569554455025
test,partition_lambda,468,341,1023,3.43053720505473,3.580146333035419,4.097551090993371,-0.14960912798068934
test,partition_lambda,476,16,48,2.4474297612905502,1.9444598038034682,4.232665297039859,0.5029699574870823
test,partition_lambda,485,477,1431,3.678246189796533,3.9221270464483484,4.156515303415903,-0.24388085665181503
test,partition_lambda,486,559,1677,3.6875321482645305,3.9988631515174236,4.317428849008937,-0.3113310032528931
test,partition_lambda,487,261,783,3.6840673235945625,3.9968777587551596,4.317428849008937,-0.31281043516059653
test,partition_lambda,488,180,540,3.4423114189395196,3.939388260377071,4.317428849008938,-0.4970768414375514
test,partition_lambda,489,397,1191,3.7478759865316396,3.948493528049969,4.317428849008937,-0.2006175415183292
test,partition_lambda,491,409,1227,3.6039049893544766,3.8111369694530657,4.317428849008937,-0.20723198009858926
test,partition_lambda,492,110,330,3.2013181278199863,3.8342963347525116,4.317428849008938,-0.632978206932526
test,partition_lambda,507,15,45,4.04445739587148,4.156490431427479,4.181115561044416,-0.11203303555599954
test,partition_lambda,508,244,732,3.623944569318021,3.97118890151196,4.3174288490089365,-0.34724433219393913
test,partition_lambda,510,64,192,3.0166307408362627,3.8886581024060827,4.317428849008937,-0.8720273615698201
test,partition_lambda,511,19,57,3.7743723978076065,4.060163076521996,4.317428849008937,-0.2857906787143902
test,partition_lambda,512,115,345,3.4110823983731478,4.212859366344774,4.317428849008937,-0.8017769679716252
test,partition_lambda,529,52,156,3.3440076487186627,3.6946644019909174,4.05281339393931,-0.3506567532722547
test,partition_lambda,530,561,1683,3.6666567220761532,3.9880186861931737,4.317428849008937,-0.3213619641170206
test,partition_lambda,532,16,48,3.1738455245892205,3.8741971354802978,4.317428849008937,-0.7003516108910771
test,partition_lambda,533,54,162,3.480486019158069,3.4747608739971447,4.317428849008938,0.0057251451609247805
test,partition_lambda,551,15,45,3.8720057050387067,3.620906535126217,4.085345952937565,0.2510991699124897
test,partition_lambda,553,22,66,3.150412051966696,3.0205486385523934,4.317428849008937,0.12986341341430258
test,partition_lambda,573,34,102,3.309804417923385,3.2900971218639987,4.171411750537254,0.019707296059385863
test,partition_lambda,575,40,120,3.704406519730886,3.9922242429412074,4.317428849008937,-0.2878177232103212
test,partition_lambda,600,29,87,3.5444079267567603,3.7299891258049804,4.317428849008937,-0.18558119904822043
test,partition_lambda,927,210,630,3.5004577426683334,3.8140294312343364,4.096609252310755,-0.31357168856600276
test,partition_lambda,928,770,2310,3.6784702378950076,3.9033911338591496,4.1541418660192795,-0.22492089596414172
test,partition_lambda,929,21,63,3.60212905255575,3.7276251972878387,4.091574662167785,-0.12549614473208864
test,partition_lambda,930,539,1617,3.4546113165905243,3.978892620487401,4.155614793011524,-0.5242813038968769
test,partition_lambda,931,54,162,3.353061588458073,3.7578975380150457,4.14364913453595,-0.40483594955697233
test,partition_lambda,932,362,1086,3.494329031824407,3.953661407404517,4.14187397897577,-0.45933237558011
test,partition_lambda,934,32,96,3.1249340418726206,3.3163664771595065,4.116873079027094,-0.19143243528688533
test,partition_lambda,939,71,213,3.0073799146732814,3.1430553279757443,4.100094582992377,-0.135675413302463
test,partition_lambda,948,122,366,3.2641019632256096,3.497279390192587,4.009091235732434,-0.2331774269669771
test,partition_lambda,949,188,564,3.4499777950716357,3.8344649465680463,4.317428849008938,-0.3844871514964102
test,partition_lambda,950,14,42,3.041211099851699,3.721532280931997,4.317428849008938,-0.6803211810802983
test,partition_lambda,951,41,123,3.5011935224378012,4.203475800479174,4.317428849008937,-0.7022822780413721
test,partition_lambda,952,76,228,3.349780561631186,4.1421859381102575,4.317428849008937,-0.792405376479072
test,partition_lambda,953,32,96,3.3886868953704834,3.4410305080012655,4.317428849008937,-0.05234361263078186
test,partition_lambda,954,24,72,3.0658818119102054,3.427042659720499,4.317428849008937,-0.3611608478102933
test,partition_lambda,970,706,2118,3.6171893438885414,3.9389597410592296,4.140234283122363,-0.3217703971706886
test,partition_lambda,971,114,342,3.6161098553423296,3.89017644327019,4.317428849008937,-0.27406658792786026
test,partition_lambda,972,429,1287,3.751502297233961,4.3518609376072845,4.317428849008938,-0.6003586403733241
test,partition_lambda,974,216,648,3.6754051583048737,3.937061623909247,4.317428849008938,-0.261656465604373
test,partition_lambda,976,126,378,3.5675956610018615,4.144901864482095,4.317428849008937,-0.5773062034802333
